date,network,iatv_id,program_name,n
2016-10-08,MSNBCW,MSNBCW_20161008_010000_The_Rachel_Maddow_Show,The Rachel Maddow Show,0.0
2016-11-03,FOXNEWSW,FOXNEWSW_20161103_010000_The_Kelly_File,The Kelly File,0.0
2016-09-09,CNNW,CNNW_20160909_040000_Anderson_Cooper_360,Anderson Cooper 360,0.0
2016-10-27,FOXNEWSW,FOXNEWSW_20161027_030000_The_OReilly_Factor,The O'Reilly Factor,2.0
2016-10-07,MSNBCW,MSNBCW_20161007_020000_The_Last_Word_With_Lawrence_ODonnell,The Last Word With Lawrence O'Donnell,0.0
2016-10-19,CNNW,CNNW_20161019_010000_Anderson_Cooper_360,Anderson Cooper 360,0.0
2016-11-18,MSNBCW,MSNBCW_20161118_030000_The_Last_Word_With_Lawrence_ODonnell,The Last Word With Lawrence O'Donnell,1.0
2016-11-16,CNNW,CNNW_20161116_010000_Anderson_Cooper_360,Anderson Cooper 360,0.0
2016-11-02,CNNW,CNNW_20161102_000000_Anderson_Cooper_360,Anderson Cooper 360,0.0
2016-10-19,CNNW,CNNW_20161019_040000_Anderson_Cooper_360,Anderson Cooper 360,0.0
2016-10-27,FOXNEWSW,FOXNEWSW_20161027_010000_The_Kelly_File,The Kelly File,0.0
2016-09-30,FOXNEWSW,FOXNEWSW_20160930_030000_The_OReilly_Factor,The O'Reilly Factor,2.0
2016-11-23,MSNBCW,MSNBCW_20161123_030000_The_Last_Word_With_Lawrence_ODonnell,The Last Word With Lawrence O'Donnell,0.0
2016-11-24,FOXNEWSW,FOXNEWSW_20161124_010000_The_OReilly_Factor,The O'Reilly Factor,1.0
2016-11-19,MSNBCW,MSNBCW_20161119_060000_The_Last_Word_With_Lawrence_ODonnell,The Last Word With Lawrence O'Donnell,2.0
2016-09-25,CNNW,CNNW_20160925_230000_Erin_Burnett_OutFront,Erin Burnett OutFront,1.0
2016-10-16,FOXNEWSW,FOXNEWSW_20161016_030000_The_OReilly_Factor,The O'Reilly Factor,6.0
2016-09-07,CNNW,CNNW_20160907_230000_Erin_Burnett_OutFront,Erin Burnett OutFront,4.0
2016-10-14,MSNBCW,MSNBCW_20161014_040000_The_Rachel_Maddow_Show,The Rachel Maddow Show,0.0
2016-09-27,FOXNEWSW,FOXNEWSW_20160927_000000_The_OReilly_Factor,The O'Reilly Factor,2.0
2016-09-16,CNNW,CNNW_20160916_010000_Anderson_Cooper_360,Anderson Cooper 360,0.0
2016-10-08,FOXNEWSW,FOXNEWSW_20161008_040000_The_Kelly_File,The Kelly File,0.0
2016-09-13,CNNW,CNNW_20160913_000000_Anderson_Cooper_360,Anderson Cooper 360,0.0
2016-11-15,MSNBCW,MSNBCW_20161115_090000_The_Rachel_Maddow_Show,The Rachel Maddow Show,0.0
2016-09-23,MSNBCW,MSNBCW_20160923_050000_The_Last_Word_With_Lawrence_ODonnell,The Last Word With Lawrence O'Donnell,0.0
2016-11-29,FOXNEWSW,FOXNEWSW_20161129_020000_The_Kelly_File,The Kelly File,0.0
2016-09-05,CNNW,CNNW_20160905_230000_Erin_Burnett_OutFront,Erin Burnett OutFront,2.0
2016-09-23,CNNW,CNNW_20160923_010000_Anderson_Cooper_360,Anderson Cooper 360,0.0
2016-09-07,CNNW,CNNW_20160907_010000_Anderson_Cooper_360,Anderson Cooper 360,0.0
2016-09-30,CNNW,CNNW_20160930_230000_Erin_Burnett_OutFront,Erin Burnett OutFront,12.0
2016-10-28,MSNBCW,MSNBCW_20161028_080000_The_Rachel_Maddow_Show,The Rachel Maddow Show,0.0
2016-11-26,FOXNEWSW,FOXNEWSW_20161126_040000_The_OReilly_Factor,The O'Reilly Factor,0.0
2016-09-16,FOXNEWSW,FOXNEWSW_20160916_010000_The_Kelly_File,The Kelly File,0.0
2016-11-07,FOXNEWSW,FOXNEWSW_20161107_020000_The_Kelly_File,The Kelly File,0.0
2016-11-16,MSNBCW,MSNBCW_20161116_090000_The_Rachel_Maddow_Show,The Rachel Maddow Show,0.0
2016-10-27,MSNBCW,MSNBCW_20161027_050000_The_Last_Word_With_Lawrence_ODonnell,The Last Word With Lawrence O'Donnell,1.0
2016-10-07,FOXNEWSW,FOXNEWSW_20161007_000000_The_OReilly_Factor,The O'Reilly Factor,0.0
2016-09-16,CNNW,CNNW_20160916_230000_Erin_Burnett_OutFront,Erin Burnett OutFront,3.0
2016-09-22,MSNBCW,MSNBCW_20160922_080000_The_Rachel_Maddow_Show,The Rachel Maddow Show,0.0
